qname	cds_start	cds_end	map_start	map_end	pid	pid_adj	n_error	n_insert	n_mismatch	n_deletion	rname
01_A07	1	727	33	630	99.7	82.0	2	0	2	0	ENSMUST00000125788.8|ENSMUSG00000012350.16|OTTMUSG00000014852.7|OTTMUST00000075920.2|Ehf-204|Ehf|748|UTR5:1-21|CDS:22-748|
01_A08	1	1479	619	950	100.0	22.4	0	0	0	0	ENST00000449207.8|ENSG00000126856.16|OTTHUMG00000138990.5|OTTHUMT00000420560.3|PRDM7-202|PRDM7|3393|UTR5:1-191|CDS:192-1670|UTR3:1671-3393|
01_A09	1	702	8	700	100.0	98.7	0	0	0	0	ENST00000538513.6|ENSG00000129194.8|OTTHUMG00000178146.2|OTTHUMT00000440756.1|SOX15-202|SOX15|1050|UTR5:1-148|CDS:149-850|UTR3:851-1050|
01_A10	1	840	1	838	100.0	99.8	0	0	0	0	ENST00000281437.6|ENSG00000043039.7|OTTHUMG00000165776.5|OTTHUMT00000386153.3|BARX2-201|BARX2|1905|UTR5:1-188|CDS:189-1028|UTR3:1029-1905|
01_C09	1	681	11	679	99.9	98.1	1	0	1	0	ENST00000308304.2|ENSG00000175325.2|OTTHUMG00000130887.1|OTTHUMT00000253472.1|PROP1-201|PROP1|1464|UTR5:1-309|CDS:310-990|UTR3:991-1464|
01_E08	1	993	4	991	100.0	99.5	0	0	0	0	ENST00000372122.4|ENSG00000165702.15|OTTHUMG00000020848.5|OTTHUMT00000054810.3|GFI1B-202|GFI1B|1798|UTR5:1-168|CDS:169-1161|UTR3:1162-1798|
01_F09	1	1122	1	1120	100.0	99.8	0	0	0	0	ENST00000435572.7|ENSG00000123405.14|OTTHUMG00000169761.2|OTTHUMT00000405746.2|NFE2-202|NFE2|1656|UTR5:1-271|CDS:272-1393|UTR3:1394-1656|
01_G07	1	972	1	972	100.0	100.0	0	0	0	0	ENST00000344288.10|ENSG00000140009.19|OTTHUMG00000141306.4|OTTHUMT00000412158.1|ESR2-203|ESR2|1427|UTR5:1-51|CDS:52-1023|UTR3:1024-1427|
01_G08	1	1308	332	1308	100.0	74.7	0	0	0	0	ENST00000338863.13|ENSG00000007866.22|OTTHUMG00000014571.6|OTTHUMT00000040298.4|TEAD3-201|TEAD3|2986|UTR5:1-231|CDS:232-1539|UTR3:1540-2986|
02_A05	1	540	1	538	100.0	99.6	0	0	0	0	ENST00000237316.3|ENSG00000118526.7|OTTHUMG00000015608.2|OTTHUMT00000042293.1|TCF21-201|TCF21|3010|UTR5:1-63|CDS:64-603|UTR3:604-3010|
02_A06	1	303	1	301	100.0	99.3	0	0	0	0	ENST00000401724.1|ENSG00000131668.14|OTTHUMG00000020255.6|OTTHUMT00000053165.3|BARX1-202|BARX1|1323|UTR5:1-483|CDS:484-786|UTR3:787-1323|
