qname	cds_start	cds_end	map_start	map_end	pid	pid_adj	n_error	n_insert	n_mismatch	n_deletion	rname
01_A01	1	1365	795	1365	100.0	41.8	0	0	0	0	ENSMUST00000110204.9|ENSMUSG00000021255.18|OTTMUSG00000023036.7|OTTMUST00000055512.3|Esrrb-203|Esrrb|4196|UTR5:1-271|CDS:272-1636|UTR3:1637-4196|
01_A03	1	1209	718	1209	100.0	40.7	0	0	0	0	ENSMUST00000031591.10|ENSMUSG00000029595.10|OTTMUSG00000039746.4|OTTMUST00000103349.4|Lhx5-201|Lhx5|2689|UTR5:1-582|CDS:583-1791|UTR3:1792-2689|
01_A04	1	1455	902	1455	100.0	38.1	0	0	0	0	ENSMUST00000034184.12|ENSMUSG00000031737.12|OTTMUSG00000040089.3|OTTMUST00000104133.3|Irx5-201|Irx5|2450|UTR5:1-435|CDS:436-1890|UTR3:1891-2450|
01_A05	1	948	343	948	100.0	63.9	0	0	0	0	ENSMUST00000184646.3|ENSMUSG00000018698.16|OTTMUSG00000000972.8|OTTMUST00000117042.3|Lhx1-204|Lhx1|1201|UTR5:1-146|CDS:147-1094|UTR3:1095-1201|
01_A06	1	2298	1480	2090	100.0	26.6	0	0	0	0	ENSMUST00000020071.4|ENSMUSG00000019913.5|OTTMUSG00000063890.5|OTTMUST00000155689.5|Sim1-201|Sim1|7355|UTR5:1-246|CDS:247-2544|UTR3:2545-7355|
01_A12	1	879	276	877	100.0	68.5	0	0	0	0	ENST00000456324.5|ENSG00000167635.12|OTTHUMG00000180511.1|-|ZNF146-202|ZNF146|3780|UTR5:1-1449|CDS:1450-2328|UTR3:2329-3780|
01_B05	1	1164	619	1162	100.0	46.7	0	0	0	0	ENST00000355526.10|ENSG00000011332.21|OTTHUMG00000157164.4|OTTHUMT00000347724.2|DPF1-201|DPF1|2301|UTR5:1-80|CDS:81-1244|UTR3:1245-2301|
01_B07	1	1122	920	1122	100.0	18.1	0	0	0	0	ENST00000382276.8|ENSG00000137090.12|OTTHUMG00000019435.3|OTTHUMT00000051489.3|DMRT1-201|DMRT1|2215|UTR5:1-142|CDS:143-1264|UTR3:1265-2215|
01_B11	1	1239	858	1237	100.0	30.7	0	0	0	0	ENST00000256495.4|ENSG00000134107.5|OTTHUMG00000119035.3|OTTHUMT00000239244.3|BHLHE40-201|BHLHE40|3152|UTR5:1-282|CDS:283-1521|UTR3:1522-3152|
01_C01	1	1323	816	1323	100.0	38.4	0	0	0	0	ENST00000587260.1|ENSG00000008441.18|OTTHUMG00000180726.4|OTTHUMT00000452773.1|NFIX-208|NFIX|1537|UTR5:1-58|CDS:59-1381|UTR3:1382-1537|
01_C12	1	1419	801	1419	99.5	43.4	3	0	0	3	ENST00000298282.14|ENSG00000165495.16|OTTHUMG00000165884.5|OTTHUMT00000386866.4|PKNOX2-201|PKNOX2|3642|UTR5:1-226|CDS:227-1645|UTR3:1646-3642|
01_D01	1	1221	605	1220	100.0	50.5	0	0	0	0	ENST00000439158.5|ENSG00000235109.8|OTTHUMG00000014518.5|OTTHUMT00000040186.1|ZSCAN31-209|ZSCAN31|3050|UTR5:1-400|CDS:401-1621|UTR3:1622-3050|
01_D02	1	1065	505	1063	100.0	52.5	0	0	0	0	ENST00000544426.5|ENSG00000196387.10|OTTHUMG00000167942.3|OTTHUMT00000397172.1|ZNF140-210|ZNF140|2340|UTR5:1-400|CDS:401-1465|UTR3:1466-2340|
